,label,start_unix,end_unix,times,intensity
1229,ROUND,1423180800,1423785600,"({'starting_time': 1423180800, 'ending_time': 1423785600},)",0.04616713823100717
1230,VAN DYKE,1423180800,1423526400,"({'starting_time': 1423180800, 'ending_time': 1423526400},)",0.0033570104799403784
1231,HIGHWAY,1429315200,1429833600,"({'starting_time': 1429315200, 'ending_time': 1429833600},)",0.006918475429189503
1232,CARL,1430179200,1430265600,"({'starting_time': 1430179200, 'ending_time': 1430265600},)",0.026381221846289812
1233,MORTAR,1430179200,1430265600,"({'starting_time': 1430179200, 'ending_time': 1430265600},)",0.005276244369257962
1234,GRENADE,1430265600,1430784000,"({'starting_time': 1430265600, 'ending_time': 1430784000},)",0.013355493559684217
1235,FOREBAY,1431302400,1431388800,"({'starting_time': 1431302400, 'ending_time': 1431388800},)",0.004563951379408137
1236,SADDLE,1433808000,1435190400,"({'starting_time': 1433808000, 'ending_time': 1435190400},)",0.010169961021744722
1237,PEANUT,1433980800,1433980800,"({'starting_time': 1433980800, 'ending_time': 1433980800},)",0.010104007967128998
1238,LAKE,1434499200,1436054400,"({'starting_time': 1434499200, 'ending_time': 1436054400},)",0.20682218396945054
1239,CORRINE,1434585600,1435104000,"({'starting_time': 1434585600, 'ending_time': 1435104000},)",0.006067681024646656
1240,SKY,1434585600,1435276800,"({'starting_time': 1434585600, 'ending_time': 1435276800},)",0.0032976527307862265
1241,PARKHILL,1434758400,1434758400,"({'starting_time': 1434758400, 'ending_time': 1434758400},)",0.011812192081676262
1242,CALGROVE,1435104000,1435276800,"({'starting_time': 1435104000, 'ending_time': 1435276800},)",0.002737051766552568
1243,IONE,1435795200,1436054400,"({'starting_time': 1435795200, 'ending_time': 1436054400},)",0.0023545240497813654
1244,YORK,1435968000,1436140800,"({'starting_time': 1435968000, 'ending_time': 1436140800},)",0.0026051456573211187
1245,NORTH,1437091200,1437436800,"({'starting_time': 1437091200, 'ending_time': 1437436800},)",0.028030048211682923
1246,MCCABE,1437177600,1437523200,"({'starting_time': 1437177600, 'ending_time': 1437523200},)",0.010552488738515924
1247,CABIN,1437264000,1441411200,"({'starting_time': 1437264000, 'ending_time': 1441411200},)",0.04603523212177572
1248,TRIPLE 3,1437436800,1437436800,"({'starting_time': 1437436800, 'ending_time': 1437436800},)",0.0028359813484761546
1249,WRAGG,1437523200,1438819200,"({'starting_time': 1437523200, 'ending_time': 1438819200},)",0.053098804271119814
1250,WILLOW,1437782400,1439596800,"({'starting_time': 1437782400, 'ending_time': 1439596800},)",0.037606431741886125
1251,LOWELL,1437782400,1439337600,"({'starting_time': 1437782400, 'ending_time': 1439337600},)",0.01519558378346293
1252,ROCKY,1438128000,1439510400,"({'starting_time': 1438128000, 'ending_time': 1439510400},)",0.4592706911220593
1253,SWEDES,1438128000,1439683200,"({'starting_time': 1438128000, 'ending_time': 1439683200},)",0.002638122184628981
1259,FROG,1438214400,1438819200,"({'starting_time': 1438214400, 'ending_time': 1438819200},)",0.032072970459626836
1258,HUMBOLDT COMPLEX,1438214400,1440115200,"({'starting_time': 1438214400, 'ending_time': 1440115200},)",0.03220487656885829
1257,ROUTE COMPLEX,1438214400,1440979200,"({'starting_time': 1438214400, 'ending_time': 1440979200},)",0.23528752234159725
1256,FORK COMPLEX,1438214400,1440806400,"({'starting_time': 1438214400, 'ending_time': 1440806400},)",0.24072205404193295
1255,MAD RIVER COMPLEX,1438214400,1441238400,"({'starting_time': 1438214400, 'ending_time': 1441238400},)",0.24707333320142721
1254,RIVER COMPLEX,1438214400,1444867200,"({'starting_time': 1438214400, 'ending_time': 1444867200},)",0.5083727402834662
1260,ROUGH,1438300800,1448928000,"({'starting_time': 1438300800, 'ending_time': 1448928000},)",1.0
1261,GASQUET COMPLEX,1438300800,1444867200,"({'starting_time': 1438300800, 'ending_time': 1444867200},)",0.20024006911880124
1262,CREEK,1438300800,1438300800,"({'starting_time': 1438300800, 'ending_time': 1438300800},)",0.009563192919280056
1263,SOUTH COMPLEX,1438387200,1443657600,"({'starting_time': 1438387200, 'ending_time': 1443657600},)",0.19400750545761528
1264,NICKOWITZ,1438387200,1443571200,"({'starting_time': 1438387200, 'ending_time': 1443571200},)",0.04952414871094755
1265,DODGE,1438560000,1439769600,"({'starting_time': 1438560000, 'ending_time': 1439769600},)",0.06971237872882083
1266,JERUSALEM,1439078400,1440460800,"({'starting_time': 1439078400, 'ending_time': 1440460800},)",0.16566088258377687
1267,ANZA,1439164800,1439596800,"({'starting_time': 1439164800, 'ending_time': 1439596800},)",0.0032976527307862265
1268,HORNO,1439424000,1439769600,"({'starting_time': 1439424000, 'ending_time': 1439769600},)",0.012174933882062748
1270,CABIN,1439510400,1440028800,"({'starting_time': 1439510400, 'ending_time': 1440028800},)",0.011363711310289336
1269,WALKER,1439510400,1440979200,"({'starting_time': 1439510400, 'ending_time': 1440979200},)",0.024244342876740335
1271,CUESTA,1439683200,1441238400,"({'starting_time': 1439683200, 'ending_time': 1441238400},)",0.01613211715900622
1272,WARM,1439683200,1439942400,"({'starting_time': 1439683200, 'ending_time': 1439942400},)",0.001978591638471736
1273,DEER,1439856000,1440028800,"({'starting_time': 1439856000, 'ending_time': 1440028800},)",0.002051139998549033
1274,TESLA,1439942400,1440460800,"({'starting_time': 1439942400, 'ending_time': 1440460800},)",0.01879662056548149
1275,ELK,1441152000,1441497600,"({'starting_time': 1441152000, 'ending_time': 1441497600},)",0.004616713823100717
1276,TENAYA,1441584000,1442361600,"({'starting_time': 1441584000, 'ending_time': 1442361600},)",0.002737051766552568
1277,BUTTE,1441756800,1445558400,"({'starting_time': 1441756800, 'ending_time': 1445558400},)",0.4673961074507166
1278,LUMPKIN,1441929600,1442793600,"({'starting_time': 1441929600, 'ending_time': 1442793600},)",0.006859117680035351
1279,VALLEY,1442016000,1444867200,"({'starting_time': 1442016000, 'ending_time': 1444867200},)",0.5016851005454318
1280,TASSAJARA,1442620800,1443484800,"({'starting_time': 1442620800, 'ending_time': 1443484800},)",0.0071625017312676835
1281,MERIDIAN,1443830400,1443916800,"({'starting_time': 1443830400, 'ending_time': 1443916800},)",0.005671962696952309
1282,CIENEGA,1444608000,1444953600,"({'starting_time': 1444608000, 'ending_time': 1444953600},)",0.004550760768484993
1283,SOLIMAR,1451001600,1451260800,"({'starting_time': 1451001600, 'ending_time': 1451260800},)",0.00849475343450532
