,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
646,RRU-1600,RIVERSIDE,MOCKINGBIRD,2007-01-05,2007-01-06,CDF,671.0,EQUIP. USE,2007,2007,0.0027934240051289095
647,SLU-338,SAN LUIS OBISPO,DIABLO,2007-01-14,2007-01-16,CDF,332.0,STRUCTURE EXPOS,2007,2007,0.0013821412365168375
648,RRU-19979,RIVERSIDE,ALESSANDRO,2007-03-04,2007-03-04,CDF,680.0,UNDET.,2007,2007,0.0028308916892513542
649,ORC-16557,ORANGE,241 FIRE,2007-03-11,2007-03-13,CDF,2036.0,HUMAN,2007,2007,0.008476022763699643
650,RRU-22254,RIVERSIDE,SIERRA,2007-03-11,2007-03-12,CDF,1044.0,ARSON,2007,2007,0.004346251358203549
651,FKU-2844,FRESNO,LITTLE 5,2007-03-22,2007-03-23,CDF,300.0,OTHER,2007,2007,0.0012489228040814798
652,BDC-13362,SAN BERNARDINO,LAS FLORES,2007-03-31,2007-04-01,LOCAL,4100.0,UI,2007,2007,0.017068611655780223
653,CDD-4439,MONO,WALKER,2007-04-06,2007-04-08,BLM,901.0,UI,2007,2007,0.003750931488258044
654,DVP-4840,INYO,GOLDEN,2007-04-14,2007-04-15,NPS,1988.0,UI,2007,2007,0.008276195115046606
655,RRU-37425,RIVERSIDE,RIVER DAY,2007-04-28,2007-04-29,LOCAL,488.0,UNDET.,2007,2007,0.002031581094639207
656,BBD-817,KERN,JAMES,2007-04-29,2007-05-03,BLM,1350.0,UI,2007,2007,0.005620152618366659
657,RRU-40815,RIVERSIDE,DAWSON,2007-05-08,2007-05-09,CDF,990.0,EQUIP. USE,2007,2007,0.004121445253468883
658,LFD-0648,LOS ANGELES,GRIFFITH PARK,2007-05-08,2007-05-11,LOCAL,817.0,UI,2007,2007,0.00340123310311523
659,LAC-102481,LOS ANGELES,ISLAND,2007-05-10,2007-05-15,CDF,4750.0,UI,2007,2007,0.01977461106462343
660,BBD-920,KERN,WOFFORD,2007-05-13,2007-05-15,BLM,525.0,UI,2007,2007,0.0021856149071425896
661,LNU-3042,YOLO,BRAYE,2007-05-18,2007-05-22,CDF,450.0,UNDET.,2007,2007,0.0018733842061222196
662,LAC-7109398,LOS ANGELES,GORMAN,2007-05-19,2007-05-22,CDF,2050.0,UI,2007,2007,0.008534305827890111
663,MMU-5998,MADERA,HWY 41,2007-05-20,2007-05-20,CDF,338.0,UNDET.,2007,2007,0.0014071196925984672
665,BTU-5890,BUTTE,HONEY,2007-05-22,2007-05-23,CDF,726.0,MISC.,2007,2007,0.003022393185877181
664,SHF-719,SHASTA,BOLLI,2007-05-22,2007-05-27,USFS,730.0,UI,2007,2007,0.0030390454899316007
666,TUU-5701,TULARE,HORSE,2007-05-28,2007-05-30,CDF,410.0,ARSON,2007,2007,0.0017068611655780223
667,SQF-1317,TULARE,GOLDLEDGE,2007-06-03,2007-06-28,USFS,4196.0,UI,2007,2007,0.017468266953086297
668,TUU-5940,TULARE,SHANNON,2007-06-03,2007-06-04,CDF,2140.0,EQUIP. USE,2007,2007,0.008908982669114555
669,MVU-5376,IMPERIAL MVU,INKOPAH,2007-06-05,2007-06-06,CDF,1500.0,UNDET.,2007,2007,0.006244614020407399
670,TIA-1390,TULARE,OAK,2007-06-11,2007-06-17,BIA,500.0,UI,2007,2007,0.002081538006802466
671,TGU-4063,TEHAMA,DYE,2007-06-13,2007-06-16,CDF,387.0,CAMPFIRE,2007,2007,0.0016111104172651088
672,LMU-2692,LASSEN,PINE,2007-06-23,2007-06-23,CDF,314.0,DEBRIS,2007,2007,0.0013072058682719488
675,KRN-17959,KERN,MOUNTAIN,2007-06-24,2007-06-25,CDF,761.0,UI,2007,2007,0.0031681008463533534
674,TMU-11011,EL DORADO,ANGORA,2007-06-24,2007-07-02,USFS,3100.0,CAMPFIRE,2007,2007,0.012905535642175291
673,KRN-18055,KERN,WHITE,2007-06-24,2007-07-03,CDF,12454.0,UI,2007,2007,0.051846948673435825
676,TGU-4489,TEHAMA,"CONNER, W",2007-06-28,2007-06-28,CDF,446.0,EQUIP. USE,2007,2007,0.0018567319020678
677,LPF-980,SANTA BARBARA,RANCHO,2007-06-30,2007-07-03,USFS,482.0,UI,2007,2007,0.0020066026385575776
678,SBC-5316,SANTA BARBARA,ZACA,2007-07-04,2007-09-02,CDF,240207.0,HUMAN,2007,2007,1.0
679,PNF-396,PLUMAS,ANTELOPE COMPLEX,2007-07-05,2007-07-13,USFS,22902.0,LIGHTNING,2007,2007,0.09534276686358016
680,BDU-7330,SAN BERNARDINO,MERIDIAN,2007-07-05,2007-07-06,CDF,467.0,LIGHTNING,2007,2007,0.0019441564983535035
681,INF-783,INYO,INYO COMPLEX,2007-07-06,2007-07-16,USFS,35176.0,LIGHTNING,2007,2007,0.1464403618545671
682,TIA-1875,TULARE,ROCK 2,2007-07-06,2007-07-07,USFS,1005.0,UI,2007,2007,0.004183891393672957
683,LAC-7148415,LOS ANGELES,CANYON,2007-07-07,2007-07-08,CDF,815.0,UI,2007,2007,0.0033929069510880198
688,MEU-5025,MENDOCINO,PASS,2007-07-10,2007-07-16,CDF,443.0,UNDET.,2007,2007,0.0018442426740269851
687,INF-801,MONO,JUNE,2007-07-10,2007-07-12,USFS,680.0,LIGHTNING,2007,2007,0.0028308916892513542
686,SHU-5201,SHASTA,POWER,2007-07-10,2007-07-12,CDF,776.0,UNDET.,2007,2007,0.0032305469865574277
685,MDF-359,MODOC,FLETCHER,2007-07-10,2007-07-19,USFS,8121.0,UI,2007,2007,0.033808340306485656
684,KNF-3176,SISKIYOU,ELK COMPLEX,2007-07-10,2007-09-15,USFS,17684.0,LIGHTNING,2007,2007,0.07361983622458962
689,KNF-3238,SISKIYOU,CHINA-BACK COMPLEX,2007-07-13,2007-07-21,USFS,2906.0,LIGHTNING,2007,2007,0.012097898895535933
690,KRN-721415,KERN,DIGIER,2007-07-21,2007-07-22,CDF,364.0,UI,2007,2007,0.0015153596689521955
691,BTU-9279,BUTTE,32,2007-08-03,2007-08-07,CDF,382.0,UI,2007,2007,0.0015902950371970842
692,BTU-9467,BUTTE,BANGOR,2007-08-07,2007-08-07,CDF,1057.0,ARSON,2007,2007,0.004400371346380413
693,FKU-8730,KINGS,TAR,2007-08-10,2007-08-19,CDF,5644.0,ARSON,2007,2007,0.023496401020786237
694,SKU-3868,SISKIYOU,BEAR,2007-08-13,2007-08-17,CDF,841.0,EQUIP. USE,2007,2007,0.003501146927441748
695,LNU-5933,YOLO,HWY 128,2007-08-14,2007-08-15,CDF,400.0,SMOKING,2007,2007,0.001665230405441973
696,TCU-7609,STANISLAUS,DUNTON,2007-08-16,2007-08-16,CDF,540.0,EQUIP. USE,2007,2007,0.0022480610473466635
697,SBC-6785,SANTA BARBARA,CEMETARY,2007-08-20,2007-08-22,CDF,450.0,UI,2007,2007,0.0018733842061222196
698,SQF-2842,TULARE,VISTA,2007-08-22,2007-08-26,USFS,420.0,UI,2007,2007,0.0017484919257140716
699,SQF-2947,TULARE,GROUSE,2007-08-27,2007-09-08,USFS,1022.0,LIGHTNING,2007,2007,0.004254663685904241
700,SHF-1882,TRINITY,WALLOW,2007-08-29,2007-09-03,USFS,1440.0,UI,2007,2007,0.005994829459591102
701,SHF-1912,TEHAMA,LAZY,2007-08-29,2007-09-09,USFS,599.0,LIGHTNING,2007,2007,0.0024936825321493546
702,BEU-3537,SAN BENITO,QUIEN,2007-08-30,2007-09-02,CDF,486.0,LIGHTNING,2007,2007,0.002023254942611997
703,ANF-3631,LOS ANGELES,NORTH,2007-09-02,2007-09-08,USFS,2200.0,LIGHTNING,2007,2007,0.009158767229930852
704,PNF-670,PLUMAS,MOONLIGHT,2007-09-03,2007-09-15,USFS,64997.0,UI,2007,2007,0.2705874516562798
705,SCU-5214,SANTA CLARA,LICK,2007-09-03,2007-09-11,CDF,47760.0,DEBRIS,2007,2007,0.19882851040977156
706,YNP-3927,TUOLUMNE,BALD,2007-09-06,2007-09-10,NPS,425.0,LIGHTNING,2007,2007,0.0017693073057820962
707,CNF-2463,SAN DIEGO,PINE,2007-09-12,2007-09-16,USFS,2170.0,HUMAN,2007,2007,0.009033874949522703
708,BDF-9435,SAN BERNARDINO,BUTLER 2,2007-09-14,2007-10-01,USFS,14039.0,UI,2007,2007,0.05844542415499965
709,MVU-9233,SAN DIEGO,ANGEL,2007-09-15,2007-09-21,CDF,837.0,CAMPFIRE,2007,2007,0.0034844946233873286
710,ANF-4306,ANGELES,RANCH,2007-10-20,2007-10-30,USFS,58401.0,UI,2007,2007,0.24312780227054165
716,LPF-1783,SANTA BARBARA,SEDGEWICK,2007-10-21,2007-10-23,USFS,710.0,UI,2007,2007,0.002955783969659502
715,LAC-07231849,LOS ANGELES,CANYON,2007-10-21,2007-10-27,CDF,4521.0,UI,2007,2007,0.0188212666575079
714,ORC-68555,ORANGE,SANTIAGO,2007-10-21,2007-11-08,CDF,28400.0,HUMAN,2007,2007,0.11823135878638008
717,CNF-2786,SAN DIEGO,MCCOY,2007-10-21,2007-10-25,USFS,353.0,UI,2007,2007,0.001469565832802541
712,MVU-010432,SAN DIEGO,WITCH,2007-10-21,2007-10-31,CDF,197990.0,EQUIP. USE,2007,2007,0.8242474199336406
711,MVU-010427,SAN DIEGO,HARRIS,2007-10-21,2007-11-09,CDF,90440.0,UNDET.,2007,2007,0.3765085946704301
713,LAC-07232185,LOS ANGELES,BUCKWEED,2007-10-21,2007-10-26,CDF,38356.0,UI,2007,2007,0.1596789435778308
718,BDF-10570,SAN BERNARDINO,SLIDE,2007-10-22,2007-10-31,USFS,12759.0,UI,2007,2007,0.05311668685758533
719,MVU-10502,SAN DIEGO,RICE,2007-10-22,2007-11-05,CDF,9472.0,HUMAN/OTHER,2007,2007,0.03943265600086592
720,LAC-07233077,LOS ANGELES,MAGIC,2007-10-22,2007-10-27,CDF,2824.0,UI,2007,2007,0.011756526662420328
721,BDF-10566,SAN BERNARDINO,GRASS VALLEY,2007-10-22,2007-10-29,USFS,1247.0,UI,2007,2007,0.0051913557889653504
722,SMC-5592,SAN DIEGO,CORONADO HILLS,2007-10-22,2007-10-23,SMC,300.0,UI,2007,2007,0.0012489228040814798
723,MVU-10643,SAN DIEGO,POOMACHA,2007-10-23,2007-11-11,CDF,49410.0,MISC.,2007,2007,0.2056975858322197
724,MCP-001111,SAN DIEGO,AMMO FIRE,2007-10-23,2007-10-28,MIL.,21004.0,UI,2007,2007,0.087441248589758
725,YNP-4850,MARIPOSA,JACK,2007-10-29,2007-12-15,NPS,1108.0,LIGHTNING,2007,2007,0.004612688223074265
726,INF-1271,MONO,O'HARRELL,2007-10-30,2007-11-15,USFS,560.0,LIGHTNING,2007,2007,0.002331322567618762
727,LAC-259483,LOS ANGELES,CORRAL,2007-11-24,2007-11-27,CDF,4901.0,HUMAN,2007,2007,0.020403235542677773
